original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;HasContrast
10,527;2324,3;165,823;21,091;0,681;0,937;0,293;0,97;0,594;0,89;0,883;0,995;0,978;-0,56;0,931;0,154;2,329;0,447;2,61;0,956;0,664;4,658;2,203;5,443;0
8,49;2213,732;160,081;17,968;0,857;0,909;0,305;0,964;0,762;0,897;0,888;0,994;0,977;-0,52;0,893;0,126;2,052;0,539;2,289;0,939;0,733;4,105;1,884;4,706;0
8,775;2472,097;173,88;18,931;1,168;0,884;0,376;1,081;1,023;0,881;0,869;0,992;0,973;-0,474;0,876;0,122;2,082;0,538;2,363;0,92;0,732;4,164;1,898;5,025;0
7,998;1993,967;146,434;16,656;0,733;0,916;0,286;0,938;0,65;0,899;0,891;0,995;0,979;-0,519;0,891;0,13;2,004;0,534;2,268;0,939;0,729;4,009;1,881;4,347;0
6,831;1920,572;140,686;14,72;0,643;0,916;0,218;0,752;0,594;0,927;0,921;0,996;0,984;-0,567;0,87;0,093;1,82;0,637;1,794;0,947;0,797;3,639;1,508;3,841;0
9,453;2646,716;181,436;19,911;0,701;0,932;0,227;0,771;0,647;0,922;0,917;0,995;0,983;-0,621;0,93;0,11;2,156;0,51;2,242;0,96;0,71;4,313;1,958;5,153;0
7,549;1954,249;144,135;15,961;0,687;0,917;0,252;0,851;0,622;0,912;0,906;0,995;0,981;-0,545;0,886;0,111;1,931;0,582;2,051;0,945;0,761;3,863;1,711;4,162;0
6,707;1852,971;135,678;14,278;0,693;0,907;0,244;0,823;0,633;0,917;0,91;0,995;0,982;-0,535;0,868;0,103;1,82;0,612;1,926;0,937;0,781;3,639;1,603;3,743;0
10,467;2463,701;172,079;21,141;0,722;0,934;0,274;0,91;0,644;0,9;0,894;0,995;0,979;-0,583;0,935;0,145;2,316;0,451;2,538;0,958;0,667;4,631;2,18;5,466;0
7,443;1942,694;142,941;15,732;0,78;0,906;0,274;0,895;0,703;0,907;0,899;0,995;0,98;-0,522;0,88;0,115;1,925;0,571;2,115;0,936;0,754;3,85;1,751;4,128;0
6,89;2051,43;145,916;14,869;0,689;0,911;0,242;0,815;0,629;0,918;0,911;0,995;0,982;-0,538;0,866;0,101;1,829;0,62;1,894;0,94;0,786;3,658;1,576;3,89;0
6,902;1981,514;144,828;15,023;0,692;0,912;0,232;0,778;0,637;0,924;0,917;0,995;0,983;-0,557;0,864;0,089;1,822;0,648;1,781;0,946;0,804;3,644;1,477;3,929;0
10,305;2300,842;166,756;21,057;0,924;0,916;0,353;1,078;0,798;0,878;0,867;0,994;0,974;-0,515;0,913;0,148;2,296;0,472;2,604;0,945;0,684;4,592;2,125;5,495;0
8,143;2334,799;166,477;17,671;0,811;0,912;0,273;0,882;0,734;0,909;0,902;0,995;0,98;-0,543;0,887;0,108;1,982;0,585;2,079;0,944;0,763;3,964;1,719;4,62;0
9,332;2342,756;168,34;19,623;0,929;0,91;0,318;0,987;0,825;0,893;0,885;0,994;0,977;-0,531;0,904;0,129;2,158;0,52;2,368;0,942;0,719;4,317;1,948;5,138;0
7,117;2044,776;147,597;15,327;0,67;0,916;0,225;0,771;0,618;0,924;0,918;0,996;0,983;-0,569;0,883;0,099;1,858;0,611;1,903;0,946;0,78;3,716;1,609;3,999;0
7,479;2279,899;159,538;16,241;0,734;0,914;0,249;0,827;0,671;0,917;0,91;0,995;0,982;-0,547;0,879;0,103;1,898;0,601;1,973;0,94;0,774;3,796;1,65;4,244;0
10,279;3045,026;204,788;22,227;1,424;0,88;0,444;1,197;1,223;0,864;0,849;0,99;0,968;-0,452;0,883;0,129;2,254;0,495;2,603;0,91;0,702;4,507;2,068;5,913;0
10,138;3180,919;212,152;22,245;1,334;0,887;0,408;1,13;1,164;0,875;0,862;0,991;0,971;-0,472;0,885;0,123;2,216;0,516;2,481;0,917;0,717;4,432;1,987;5,895;0
11,111;2921,216;194,41;22,589;0,77;0,934;0,294;0,954;0,681;0,893;0,887;0,995;0,978;-0,567;0,937;0,152;2,378;0,424;2,669;0,951;0,646;4,757;2,285;5,84;0
10,234;2787,557;191,946;21,799;0,669;0,94;0,263;0,884;0,598;0,907;0,9;0,995;0,98;-0,582;0,912;0,116;2,225;0,549;2,175;0,965;0,739;4,451;1,819;5,617;0
9,982;2747,854;186,34;21,017;0,716;0,934;0,266;0,885;0,643;0,907;0,9;0,995;0,98;-0,585;0,917;0,12;2,215;0,534;2,231;0,962;0,728;4,43;1,874;5,433;0
8,957;2449,145;170,86;18,893;0,746;0,924;0,292;0,949;0,659;0,898;0,889;0,995;0,978;-0,538;0,903;0,126;2,102;0,533;2,307;0,945;0,728;4,205;1,911;4,91;0
8,841;2873,993;192,891;19,466;0,674;0,933;0,235;0,798;0,618;0,921;0,914;0,995;0,983;-0,591;0,897;0,098;2,036;0,602;1,951;0,959;0,774;4,071;1,641;5,035;0
10,961;2982,916;201,467;23,142;1,568;0,873;0,504;1,306;1,311;0,846;0,829;0,989;0,964;-0,428;0,886;0,141;2,36;0,453;2,838;0,904;0,671;4,719;2,229;6,177;0
8,623;2350,24;164,216;18,246;0,617;0,935;0,236;0,816;0,56;0,917;0,911;0,996;0,982;-0,593;0,903;0,107;2,053;0,581;2,009;0,964;0,76;4,107;1,69;4,716;0
8,003;1968,548;145,28;16,707;0,799;0,909;0,293;0,941;0,711;0,9;0,892;0,994;0,978;-0,53;0,893;0,119;2,006;0,556;2,219;0,942;0,744;4,013;1,825;4,376;0
10,331;2798,439;194,534;22,383;1,562;0,87;0,449;1,174;1,358;0,871;0,855;0,99;0,968;-0,474;0,885;0,113;2,264;0,528;2,463;0,934;0,726;4,528;1,929;5,986;0
5,368;1470,749;106,789;10,822;0,494;0,913;0,233;0,837;0,439;0,912;0,905;0,996;0,982;-0,485;0,844;0,12;1,669;0,591;1,949;0,922;0,767;3,338;1,632;2,829;0
9,597;2693,258;181,168;19,708;0,724;0,929;0,274;0,909;0,646;0,9;0,895;0,995;0,979;-0,573;0,933;0,144;2,203;0,442;2,569;0,947;0,66;4,405;2,212;5,108;0
7,756;2402,011;163,045;16,466;1,214;0,863;0,418;1,183;1,036;0,863;0,849;0,992;0,969;-0,405;0,852;0,148;1,986;0,485;2,566;0,88;0,694;3,971;2,055;4,42;0
6,672;2632,905;166,07;14,551;0,694;0,909;0,218;0,738;0,645;0,928;0,923;0,995;0,984;-0,57;0,879;0,093;1,791;0,612;1,865;0,933;0,78;3,582;1,595;3,811;0
7,516;1787,254;129,989;14,895;0,799;0,898;0,336;1,06;0,684;0,877;0,868;0,994;0,974;-0,471;0,893;0,162;1,998;0,451;2,606;0,915;0,667;3,996;2,145;3,923;0
6,117;1588,784;116,232;12,369;0,822;0,875;0,312;0,994;0,723;0,89;0,881;0,994;0,977;-0,447;0,854;0,142;1,797;0,52;2,285;0,902;0,719;3,595;1,877;3,298;0
7,197;1727,225;124,553;14,111;0,869;0,884;0,357;1,101;0,739;0,87;0,86;0,994;0,973;-0,443;0,882;0,174;1,971;0,433;2,661;0,904;0,653;3,943;2,18;3,745;0
7,124;1677,52;122,032;13,981;0,936;0,875;0,369;1,12;0,797;0,868;0,858;0,993;0,972;-0,437;0,878;0,171;1,965;0,44;2,653;0,898;0,659;3,931;2,161;3,729;0
5,713;1399,479;103,73;11,253;0,815;0,865;0,318;1,01;0,712;0,887;0,878;0,994;0,976;-0,434;0,848;0,144;1,762;0,513;2,301;0,891;0,713;3,523;1,881;3,017;0
6,855;1587,306;116,917;13,401;0,833;0,883;0,355;1,099;0,706;0,871;0,86;0,994;0,973;-0,436;0,873;0,168;1,927;0,45;2,596;0,901;0,667;3,854;2,116;3,558;0
6,796;1598,336;117,813;13,347;1,101;0,848;0,43;1,23;0,914;0,852;0,838;0,992;0,968;-0,379;0,848;0,172;1,932;0,434;2,738;0,865;0,655;3,865;2,178;3,612;0
6,844;1985,016;137,448;14,115;0,881;0,883;0,338;1,05;0,764;0,881;0,872;0,994;0,975;-0,439;0,859;0,151;1,88;0,502;2,4;0,902;0,705;3,76;1,962;3,749;0
8,169;1555,657;113,287;14,582;0,606;0,92;0,312;1,02;0,507;0,873;0,867;0,996;0,976;-0,525;0,935;0,199;2,162;0,333;2,927;0,935;0,563;4,325;2,497;3,797;0
6,934;1519,161;109,793;12,883;0,655;0,903;0,296;0,978;0,566;0,884;0,878;0,995;0,977;-0,512;0,914;0,175;1,969;0,405;2,642;0,923;0,628;3,938;2,242;3,385;0
11,787;2084,666;142,422;20,603;1,174;0,892;0,547;1,439;0,869;0,796;0,779;0,991;0,958;-0,406;0,921;0,264;2,632;0,235;3,722;0,905;0,472;5,265;2,971;5,444;0
5,79;1564,428;113,109;11,766;0,734;0,883;0,277;0,917;0,656;0,902;0,894;0,995;0,979;-0,464;0,847;0,13;1,741;0,557;2,11;0,908;0,744;3,482;1,749;3,125;0
7,544;1937,68;134,922;14,774;0,74;0,905;0,305;0,988;0,644;0,885;0,879;0,995;0,977;-0,509;0,912;0,169;2,009;0,421;2,626;0,925;0,642;4,018;2,221;3,878;0
7,132;1662,818;121,287;13,918;0,834;0,887;0,353;1,097;0,708;0,87;0,86;0,994;0,973;-0,445;0,882;0,175;1,965;0,433;2,651;0,908;0,653;3,93;2,174;3,688;0
7,692;1854,588;129,068;14,569;0,764;0,9;0,317;1,011;0,66;0,879;0,873;0,995;0,976;-0,504;0,918;0,184;2,059;0,371;2,772;0,924;0,597;4,119;2,359;3,833;0
8,908;1841,337;132,486;16,695;1,428;0,842;0,573;1,474;1,096;0,803;0,784;0,99;0,957;-0,344;0,866;0,221;2,256;0,314;3,383;0,854;0,553;4,513;2,638;4,531;0
7,048;2079,522;143,333;14,585;0,815;0,894;0,31;0,991;0,717;0,89;0,882;0,994;0,977;-0,474;0,878;0,146;1,899;0,497;2,383;0,913;0,702;3,798;1,976;3,85;0
7,726;2064,922;142,969;15,558;1,238;0,853;0,461;1,27;1,018;0,844;0,829;0,991;0,966;-0,387;0,857;0,172;2,036;0,426;2,812;0,867;0,649;4,073;2,239;4,199;0
8,134;1526,813;113,27;14,585;0,654;0,914;0,3;0,987;0,562;0,882;0,876;0,995;0,977;-0,531;0,935;0,183;2,157;0,327;2,889;0,934;0,551;4,313;2,482;3,81;0
7,673;2054,579;144,6;15,598;0,943;0,886;0,373;1,128;0,801;0,867;0,857;0,993;0,972;-0,437;0,879;0,167;2,002;0,445;2,657;0,903;0,663;4,005;2,161;4,135;0
8,242;2005,171;141,458;16,195;1,138;0,869;0,472;1,314;0,912;0,835;0,819;0,992;0,964;-0,385;0,871;0,191;2,116;0,384;3,007;0,88;0,615;4,232;2,385;4,333;0
9,566;2338,708;159,141;18,673;1,584;0,844;0,591;1,488;1,23;0,804;0,783;0,989;0,956;-0,348;0,866;0,204;2,301;0,336;3,314;0,856;0,574;4,602;2,583;5,064;0
9,092;2528,068;175,303;18,823;1,274;0,873;0,48;1,313;1,04;0,838;0,823;0,991;0,964;-0,39;0,873;0,181;2,169;0,401;2,988;0,884;0,629;4,338;2,371;5,024;1
15,859;2960,25;186,093;26,88;1,123;0,92;0,586;1,484;0,772;0,772;0,755;0,991;0,954;-0,419;0,942;0,31;3,069;0,162;4,167;0,925;0,383;6,138;3,349;7,001;1
7,154;1999,116;140,478;14,749;0,966;0,877;0,37;1,111;0,827;0,872;0,861;0,993;0,972;-0,428;0,862;0,151;1,926;0,486;2,508;0,893;0,695;3,852;2,026;3,929;0
9,536;2364,953;159,924;18,209;0,704;0,926;0,31;0,999;0,604;0,879;0,873;0,995;0,976;-0,536;0,939;0,189;2,272;0,328;2,951;0,939;0,557;4,543;2,543;4,728;0
7,402;2049,464;149,085;15,9;0,746;0,91;0,256;0,846;0,679;0,914;0,907;0,995;0,981;-0,543;0,879;0,105;1,901;0,599;1,99;0,941;0,773;3,802;1,654;4,162;0
10,425;3311,1;231,279;23,791;0,593;0,951;0,181;0,636;0,559;0,942;0,938;0,996;0,987;-0,648;0,903;0,075;2,151;0,627;1,768;0,967;0,79;4,301;1,539;6,096;1
6,49;1921,717;138,25;14,003;0,641;0,913;0,216;0,747;0,593;0,927;0,922;0,996;0,984;-0,556;0,861;0,093;1,775;0,642;1,766;0,941;0,8;3,55;1,486;3,661;0
9,007;2434,806;169,483;19,085;0,779;0,922;0,277;0,899;0,7;0,907;0,899;0,995;0,979;-0,56;0,898;0,112;2,105;0,564;2,114;0,953;0,749;4,21;1,749;4,966;0
8,345;2453,686;172,298;18,225;0,582;0,938;0,204;0,72;0,539;0,931;0,926;0,996;0,985;-0,61;0,888;0,088;1,983;0,627;1,775;0,961;0,79;3,967;1,51;4,702;0
15,424;2804,982;175,188;28,336;0,848;0,942;0,374;1,141;0,705;0,861;0,851;0,994;0,971;-0,551;0,946;0,184;2,924;0,359;2,991;0,968;0,591;5,849;2,474;7,296;0
9,245;2267,246;159,671;18,745;0,86;0,912;0,347;1,077;0,737;0,876;0,866;0,994;0,974;-0,501;0,91;0,156;2,185;0,455;2,652;0,931;0,672;4,37;2,178;4,901;0
7,463;1949,965;139,484;15,34;0,77;0,904;0,307;0,989;0,674;0,891;0,882;0,995;0,977;-0,492;0,885;0,137;1,955;0,517;2,353;0,922;0,717;3,909;1,937;4,027;0
7,935;2032,696;145,155;16,301;0,787;0,908;0,311;0,996;0,689;0,89;0,881;0,994;0,977;-0,503;0,894;0,139;2,014;0,507;2,394;0,927;0,71;4,028;1,973;4,272;0
8,182;2159,116;154,141;17,039;0,599;0,932;0,203;0,714;0,557;0,931;0,926;0,996;0,985;-0,645;0,93;0,095;2,018;0,541;2,105;0,96;0,732;4,036;1,837;4,41;0
6,434;1812,924;129,756;13,453;0,783;0,89;0,285;0,922;0,701;0,903;0,895;0,995;0,979;-0,484;0,859;0,119;1,807;0,573;2,104;0,913;0,755;3,615;1,731;3,559;0
8,917;2329,705;163,987;18,56;0,915;0,906;0,342;1,049;0,796;0,883;0,873;0,994;0,975;-0,503;0,9;0,137;2,123;0,5;2,486;0,93;0,705;4,246;2,028;4,869;0
6,272;1963,34;137,619;13,519;0,582;0,918;0,204;0,719;0,539;0,931;0,925;0,996;0,985;-0,578;0,864;0,085;1,743;0,661;1,695;0,945;0,812;3,486;1,424;3,525;0
9,032;2345,853;162,485;18,577;1,326;0,867;0,462;1,257;1,11;0,851;0,835;0,991;0,966;-0,424;0,879;0,15;2,172;0,457;2,762;0,894;0,674;4,345;2,188;4,976;0
7,199;1774,177;129,631;14,651;0,87;0,888;0,329;1,025;0,76;0,886;0,877;0,994;0,975;-0,477;0,879;0,139;1,937;0,517;2,377;0,916;0,717;3,875;1,941;3,88;0
13,427;4106,242;259,551;28,388;0,973;0,934;0,343;1,045;0,852;0,884;0,875;0,993;0,975;-0,558;0,937;0,143;2,564;0,442;2,732;0,953;0,661;5,128;2,274;7,34;1
8,736;2110,983;150,844;17,752;0,687;0,926;0,291;0,962;0,601;0,894;0,886;0,995;0,978;-0,545;0,914;0,14;2,114;0,499;2,425;0,948;0,704;4,228;2,022;4,61;0
7,332;1827,06;132,321;14,875;0,815;0,896;0,323;1,023;0,709;0,885;0,876;0,994;0,976;-0,479;0,884;0,145;1,954;0,504;2,418;0,918;0,707;3,908;1,984;3,922;0
9,321;2133,699;153,584;18,845;0,728;0,926;0,305;0,99;0,633;0,89;0,881;0,995;0,977;-0,548;0,919;0,141;2,189;0,492;2,475;0,952;0,699;4,378;2,051;4,893;0
6,619;1999,873;142,846;14,175;0,565;0,923;0,231;0,812;0,511;0,917;0,911;0,996;0,983;-0,538;0,873;0,106;1,794;0,608;1,96;0,936;0,779;3,587;1,64;3,685;1
6,051;1589,502;114,444;12,233;0,661;0,897;0,257;0,873;0,594;0,908;0,901;0,995;0,981;-0,502;0,866;0,124;1,777;0,566;2,076;0,923;0,75;3,554;1,735;3,223;0
9,109;2385,702;165,421;18,862;0,637;0,935;0,231;0,798;0,582;0,919;0,913;0,996;0,983;-0,617;0,926;0,113;2,134;0,529;2,186;0,963;0,724;4,267;1,887;4,875;0
7,26;1771,816;131,106;14,838;0,879;0,888;0,327;1,021;0,77;0,887;0,878;0,994;0,976;-0,475;0,879;0,138;1,942;0,512;2,387;0,914;0,713;3,883;1,953;3,929;0
13,186;2273,949;152,384;23,986;2,857;0,787;0,895;1,846;2,051;0,743;0,71;0,98;0,936;-0,294;0,862;0,196;2,811;0,266;3,967;0,83;0,512;5,623;2,947;6,711;0
9,344;2272,777;160,947;18,994;0,812;0,918;0,338;1,062;0,696;0,878;0,868;0,994;0,974;-0,503;0,91;0,156;2,19;0,458;2,628;0,934;0,674;4,381;2,164;4,952;0
9,751;2549,542;177,592;20,436;1,385;0,873;0,472;1,264;1,16;0,852;0,835;0,99;0,965;-0,428;0,88;0,142;2,233;0,467;2,748;0,9;0,681;4,467;2,164;5,455;0
11,217;2570,858;177,06;22,471;1,776;0,854;0,607;1,483;1,404;0,813;0,79;0,987;0,956;-0,378;0,881;0,166;2,458;0,383;3,221;0,88;0,616;4,917;2,488;6,062;0
6,689;1919,063;137,697;14,24;0,745;0,901;0,261;0,861;0,675;0,912;0,904;0,995;0,981;-0,515;0,864;0,107;1,821;0,6;1,985;0,927;0,773;3,642;1,643;3,746;0
8,757;2602,115;178,635;18,882;1,205;0,88;0,392;1,115;1,049;0,876;0,863;0,992;0,971;-0,46;0,876;0,128;2,083;0,52;2,445;0,908;0,72;4,166;1,96;5,022;0
8,285;2230,089;157,781;17,36;0,856;0,906;0,311;0,984;0,757;0,893;0,884;0,994;0,977;-0,507;0,893;0,135;2,039;0,515;2,366;0,929;0,715;4,079;1,956;4,554;0
8,149;2108,226;150,684;16,836;0,731;0,917;0,3;0,979;0,639;0,891;0,883;0,995;0,977;-0,507;0,896;0,142;2,03;0,504;2,396;0,934;0,707;4,061;1,987;4,392;0
6,897;2149,116;149,814;14,884;0,617;0,92;0,222;0,773;0,566;0,923;0,918;0,996;0,984;-0,555;0,875;0,101;1,825;0,611;1,891;0,94;0,78;3,65;1,599;3,875;0
10,772;2651,11;182,022;21,975;1,362;0,883;0,482;1,298;1,125;0,843;0,826;0,991;0,964;-0,437;0,897;0,164;2,37;0,418;2,949;0,907;0,643;4,741;2,34;5,834;0
8,589;2261,57;158,573;17,672;0,715;0,922;0,299;0,979;0,624;0,89;0,882;0,995;0,977;-0,521;0,907;0,148;2,086;0,482;2,472;0,938;0,692;4,171;2,063;4,597;0
7,324;2016,078;141,891;15,127;0,657;0,917;0,275;0,926;0,58;0,898;0,891;0,995;0,979;-0,503;0,884;0,142;1,925;0,518;2,276;0,934;0,717;3,851;1,907;3,946;0
6,796;2041,026;143,85;14,499;0,697;0,908;0,242;0,819;0,637;0,916;0,911;0,995;0,982;-0,532;0,875;0,112;1,829;0,581;2,009;0,932;0,76;3,658;1,697;3,799;0
6,194;1854,316;131,333;13,094;0,666;0,903;0,234;0,801;0,61;0,919;0,913;0,996;0,983;-0,528;0,865;0,107;1,757;0,6;1,93;0,927;0,773;3,514;1,625;3,44;0
10,82;2590,461;177,686;21,644;0,793;0,929;0,354;1,101;0,665;0,869;0,859;0,994;0,973;-0,518;0,927;0,171;2,368;0,414;2,83;0,944;0,64;4,736;2,337;5,609;0
7,114;2026,432;144,304;15,026;0,622;0,921;0,239;0,827;0,563;0,914;0,909;0,996;0,982;-0,541;0,885;0,117;1,874;0,568;2,065;0,939;0,752;3,748;1,746;3,912;0
10,727;3073,888;213,396;23,523;0,881;0,928;0,304;0,949;0,786;0,9;0,891;0,994;0,978;-0,56;0,907;0,111;2,251;0,56;2,232;0,961;0,747;4,502;1,823;6,101;1
7,637;2081,423;149,093;16,14;0,706;0,916;0,268;0,888;0,633;0,908;0,9;0,995;0,98;-0,541;0,888;0,113;1,944;0,576;2,104;0,941;0,758;3,888;1,741;4,212;0
8,078;2154,028;153,346;16,941;0,736;0,917;0,276;0,908;0,658;0,904;0,896;0,995;0,979;-0,545;0,898;0,12;2,007;0,55;2,203;0,941;0,74;4,013;1,83;4,419;0
10,195;2733,354;188,779;21,624;1,323;0,885;0,438;1,199;1,128;0,863;0,848;0,991;0,968;-0,46;0,889;0,132;2,263;0,491;2,624;0,919;0,699;4,525;2,079;5,737;0
7,352;1963,173;140,999;15,266;0,708;0,911;0,286;0,942;0,625;0,898;0,89;0,995;0,978;-0,513;0,887;0,128;1,927;0,541;2,249;0,93;0,734;3,854;1,86;3,993;0
15,338;2703,616;171,566;27,774;3,325;0,786;0,988;1,938;2,343;0,727;0,691;0,977;0,93;-0,289;0,868;0,193;3,037;0,245;4,162;0,831;0,491;6,075;3,067;7,775;0
8,648;2223,512;156,09;17,717;0,709;0,923;0,295;0,969;0,62;0,893;0,884;0,995;0,978;-0,537;0,912;0,141;2,097;0,495;2,434;0,942;0,701;4,193;2,025;4,607;0
8,757;2356,424;165,174;18,325;0,798;0,917;0,304;0,974;0,703;0,894;0,885;0,994;0,977;-0,531;0,906;0,133;2,092;0,513;2,384;0,939;0,714;4,183;1,971;4,781;0
10,818;3350,267;230,199;24,162;1,343;0,895;0,432;1,169;1,154;0,869;0,854;0,991;0,969;-0,463;0,885;0,118;2,261;0,523;2,544;0,921;0,722;4,523;2,014;6,376;1
9,412;2593,089;174,233;19,13;0,67;0,932;0,269;0,905;0,595;0,9;0,894;0,995;0,98;-0,573;0,933;0,147;2,19;0,442;2,563;0,947;0,66;4,38;2,206;4,95;0
6,694;1865,479;133,545;13,949;0,789;0,893;0,29;0,938;0,703;0,899;0,891;0,995;0,978;-0,488;0,87;0,127;1,845;0,549;2,198;0,916;0,739;3,69;1,816;3,684;0
5,615;1714,192;120,235;11,755;0,68;0,891;0,246;0,834;0,618;0,915;0,908;0,995;0,982;-0,482;0,834;0,11;1,687;0,614;1,882;0,913;0,782;3,374;1,566;3,109;0
6,241;1828,18;129,812;13,083;0,845;0,879;0,305;0,965;0,75;0,896;0,887;0,994;0,977;-0,455;0,847;0,124;1,784;0,562;2,158;0,901;0,748;3,568;1,764;3,482;0
7,34;1870,311;133,445;14,553;0,591;0,922;0,231;0,812;0,536;0,915;0,91;0,996;0,983;-0,579;0,925;0,127;1,962;0,455;2,387;0,938;0,665;3,924;2,081;3,786;0
7,531;2418,29;162,68;16,077;1,121;0,87;0,378;1,105;0,976;0,875;0,864;0,992;0,972;-0,433;0,86;0,142;1,947;0,504;2,446;0,89;0,708;3,895;1,979;4,299;0
7,927;2469,385;172,175;17,427;0,65;0,928;0,223;0,768;0,599;0,924;0,919;0,996;0,984;-0,581;0,887;0,097;1,932;0,613;1,895;0,952;0,781;3,864;1,604;4,519;0
5,951;1866,528;133,464;12,94;0,515;0,923;0,181;0,659;0,481;0,938;0,934;0,996;0,987;-0,579;0,847;0,077;1,687;0,691;1,553;0,947;0,83;3,373;1,313;3,364;0
9,375;2387,005;168,425;19,45;0,654;0,935;0,275;0,925;0,576;0,899;0,892;0,995;0,979;-0,561;0,917;0,134;2,162;0,509;2,368;0,955;0,711;4,325;1,989;5,026;0
8,437;2480,561;173,458;18,254;0,643;0,932;0,243;0,831;0,583;0,915;0,908;0,996;0,982;-0,571;0,897;0,11;2,008;0,579;2,054;0,954;0,759;4,017;1,727;4,724;0
7,191;2157,175;151,607;15,548;0,81;0,901;0,266;0,853;0,737;0,914;0,907;0,995;0,981;-0,534;0,871;0,098;1,873;0,613;1,956;0,934;0,782;3,745;1,611;4,089;0
8,2;2535,188;176,904;18,04;0,713;0,924;0,256;0,85;0,646;0,914;0,906;0,995;0,981;-0,552;0,884;0,104;1,967;0,6;2,004;0,948;0,773;3,933;1,665;4,688;0
9,468;2490,38;175,619;19,855;0,548;0,946;0,191;0,687;0,51;0,934;0,93;0,996;0,986;-0,664;0,938;0,091;2,154;0,522;2,139;0,966;0,717;4,309;1,887;5,101;0
10,071;3055,306;203,952;21,625;0,689;0,938;0,232;0,788;0,633;0,921;0,916;0,995;0,983;-0,609;0,925;0,108;2,199;0,519;2,222;0,957;0,716;4,399;1,932;5,579;0
9,589;2739,688;187,207;20,425;0,597;0,943;0,212;0,75;0,55;0,925;0,921;0,996;0,984;-0,622;0,922;0,105;2,152;0,537;2,113;0,963;0,729;4,304;1,844;5,255;0
7,761;2300,924;162,115;16,807;0,614;0,93;0,227;0,789;0,561;0,921;0,915;0,996;0,983;-0,573;0,888;0,103;1,927;0,603;1,937;0,952;0,775;3,854;1,635;4,355;0
8,195;1974,823;142,039;16,494;0,816;0,906;0,323;1,022;0,71;0,885;0,876;0,994;0,976;-0,513;0,908;0,148;2,068;0,478;2,54;0,931;0,689;4,135;2,099;4,327;0
9,785;2428,918;167,016;19,856;1,963;0,82;0,606;1,467;1,592;0,819;0,797;0,987;0,956;-0,361;0,864;0,163;2,305;0,397;3,135;0,853;0,627;4,609;2,419;5,455;0
5,748;1608,908;117,654;12,032;0,635;0,9;0,212;0,734;0,589;0,929;0,924;0,996;0,984;-0,563;0,866;0,091;1,703;0,644;1,771;0,935;0,802;3,405;1,491;3,167;0
7,45;1930,53;138,998;15,323;0,821;0,898;0,316;1;0,719;0,89;0,881;0,994;0,976;-0,499;0,89;0,133;1,956;0,524;2,365;0,924;0,722;3,911;1,937;4,036;0
6,099;1689,714;121,755;12,59;0,752;0,887;0,265;0,875;0,68;0,909;0,902;0,995;0,98;-0,506;0,868;0,117;1,772;0,574;2,08;0,916;0,756;3,543;1,732;3,336;0
6,584;1762,812;127,018;13,502;0,648;0,908;0,255;0,87;0,582;0,908;0,902;0,995;0,981;-0,531;0,887;0,122;1,836;0,557;2,143;0,931;0,745;3,672;1,795;3,538;0
7,058;1959,869;139,3;14,72;0,762;0,902;0,269;0,884;0,688;0,908;0,901;0,995;0,98;-0,534;0,891;0,119;1,889;0,556;2,173;0,93;0,744;3,778;1,816;3,871;0
8,307;2243,988;158,938;17,622;0,726;0,921;0,256;0,848;0,659;0,914;0,907;0,995;0,981;-0,578;0,898;0,107;2,021;0,585;2,03;0,957;0,763;4,041;1,69;4,587;0
12,285;3380,007;224,263;26,434;1,807;0,872;0,496;1,241;1,557;0,861;0,845;0,988;0,965;-0,479;0,897;0,117;2,475;0,496;2,601;0,942;0,703;4,951;2,023;7,06;0
10,89;3225,802;212,44;23,254;0,776;0,935;0,246;0,809;0,713;0,919;0,913;0,995;0,982;-0,62;0,928;0,107;2,296;0,523;2,215;0,964;0,72;4,591;1,906;6,007;0
10,751;2238,276;154,141;20,191;0,683;0,935;0,309;1,006;0,585;0,88;0,874;0,995;0,976;-0,555;0,946;0,182;2,424;0,346;2,958;0,949;0,579;4,847;2,542;5,219;0
7,522;2375,032;160,426;15,983;0,616;0,926;0,208;0,731;0,571;0,928;0,924;0,996;0,985;-0,618;0,915;0,099;1,919;0,563;2,037;0,952;0,748;3,837;1,772;4,15;0
7,611;1965,834;140,378;15,517;0,716;0,912;0,299;0,978;0,625;0,892;0,883;0,995;0,977;-0,51;0,897;0,141;1,978;0,504;2,403;0,93;0,707;3,955;1,993;4,058;0
7,404;1967,526;140,366;15,223;0,68;0,914;0,273;0,915;0,604;0,901;0,894;0,995;0,979;-0,529;0,898;0,134;1,941;0,521;2,295;0,936;0,719;3,882;1,925;3,976;0
