original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;HasContrast
10,444;2314,721;167,13;21,263;1,095;0,902;0,402;1,164;0,931;0,866;0,853;0,992;0,97;-0,485;0,908;0,151;2,324;0,459;2,727;0,934;0,675;4,648;2,192;5,589;0
10,377;2439,015;169,492;21,011;1,49;0,868;0,5;1,317;1,236;0,842;0,825;0,99;0,963;-0,432;0,894;0,158;2,344;0,428;2,926;0,905;0,652;4,689;2,303;5,625;0
7,875;1613,843;121,273;15,246;0,818;0,898;0,347;1,084;0,695;0,873;0,863;0,994;0,974;-0,472;0,898;0,168;2,066;0,44;2,666;0,917;0,66;4,132;2,191;4,016;0
9,19;2141,902;151,08;18,114;0,708;0,925;0,311;1,012;0,609;0,882;0,875;0,995;0,976;-0,533;0,927;0,166;2,2;0,424;2,707;0,942;0,646;4,399;2,279;4,706;0
8,719;2606,238;175,448;18,47;1,379;0,861;0,451;1,225;1,173;0,859;0,843;0,991;0,967;-0,421;0,869;0,141;2,109;0,478;2,659;0,887;0,689;4,217;2,113;4,962;0
8,429;2065,562;147,57;17,085;0,756;0,915;0,311;1,002;0,657;0,888;0,879;0,995;0,976;-0,525;0,91;0,145;2,085;0,488;2,489;0,939;0,696;4,169;2,063;4,46;0
9,782;2233,528;163,797;20,386;1,586;0,856;0,506;1,303;1,327;0,848;0,83;0,989;0,963;-0,416;0,874;0,135;2,254;0,476;2,748;0,904;0,689;4,509;2,136;5,493;0
7,913;1918,937;143,33;16,469;0,6;0,93;0,241;0,838;0,54;0,913;0,907;0,996;0,982;-0,569;0,903;0,117;1,986;0,558;2,131;0,951;0,745;3,973;1,8;4,267;0
6,916;1681,584;126,254;14,232;0,64;0,914;0,258;0,878;0,572;0,907;0,9;0,995;0,981;-0,518;0,878;0,124;1,876;0,563;2,11;0,937;0,749;3,751;1,764;3,718;0
10,772;2913,227;195,983;22,435;0,73;0,937;0,253;0,843;0,664;0,913;0,907;0,995;0,981;-0,612;0,936;0,119;2,312;0,485;2,38;0,962;0,692;4,624;2,057;5,791;0
10,726;2097,28;148,883;20,448;0,686;0,935;0,329;1,059;0,575;0,874;0,865;0,995;0,975;-0,544;0,938;0,176;2,405;0,399;2,852;0,955;0,627;4,811;2,39;5,284;0
7,343;1901,773;140,185;15,368;0,771;0,904;0,278;0,91;0,692;0,903;0,896;0,995;0,979;-0,514;0,884;0,126;1,922;0,545;2,21;0,931;0,736;3,844;1,845;4,035;0
11,907;2039,79;142,244;21,729;0,793;0,93;0,377;1,153;0,648;0,856;0,846;0,994;0,971;-0,526;0,943;0,198;2,583;0,347;3,113;0,953;0,583;5,166;2,584;5,631;0
11,381;2237,077;155,847;21,562;0,753;0,933;0,352;1,101;0,627;0,866;0,857;0,994;0,973;-0,535;0,941;0,185;2,486;0,375;2,975;0,952;0,607;4,971;2,485;5,579;0
10,165;2675,218;183,437;21,057;0,735;0,933;0,26;0,865;0,664;0,909;0,903;0,995;0,981;-0,593;0,932;0,124;2,255;0,479;2,423;0,955;0,688;4,51;2,088;5,448;0
7,845;1981,534;145,739;16,351;0,666;0,922;0,271;0,911;0,591;0,902;0,895;0,995;0,979;-0,532;0,895;0,127;1,981;0,542;2,239;0,942;0,734;3,962;1,869;4,254;0
8,017;2660,039;177,935;17,565;0,622;0,932;0,193;0,67;0,583;0,937;0,933;0,996;0,986;-0,638;0,902;0,08;1,945;0,619;1,802;0,964;0,785;3,889;1,565;4,547;0
8,572;2159,8;157,307;17,947;0,656;0,929;0,27;0,908;0,582;0,903;0,895;0,995;0,98;-0,555;0,906;0,123;2,061;0,542;2,248;0,951;0,735;4,123;1,876;4,651;0
8,042;2297,163;161,306;17,146;0,6;0,932;0,235;0,816;0,543;0,917;0,911;0,996;0,982;-0,587;0,902;0,107;1,976;0,585;2,031;0,959;0,763;3,953;1,713;4,437;0
9,491;2245,053;162,2;19,557;0,727;0,928;0,302;0,98;0,634;0,892;0,883;0,995;0,977;-0,549;0,915;0,134;2,187;0,512;2,4;0,955;0,714;4,374;1,985;5,071;0
6,915;1937,993;141,275;14,834;0,707;0,909;0,236;0,793;0,65;0,922;0,915;0,995;0,983;-0,557;0,875;0,097;1,839;0,62;1,887;0,942;0,787;3,679;1,58;3,885;0
7,566;2027,329;147,8;16,063;0,688;0,918;0,247;0,834;0,626;0,915;0,908;0,995;0,982;-0,562;0,892;0,108;1,929;0,586;2,04;0,947;0,764;3,859;1,71;4,188;0
7,922;2098,147;153,041;16,837;0,702;0,92;0,26;0,868;0,633;0,91;0,903;0,995;0,981;-0,555;0,894;0,111;1,972;0,577;2,094;0,948;0,758;3,944;1,745;4,385;0
7,741;1943,05;143,45;16,119;0,702;0,917;0,277;0,919;0,624;0,901;0,894;0,995;0,979;-0,524;0,892;0,129;1,971;0,54;2,245;0,939;0,733;3,943;1,872;4,205;0
8,001;2069,74;150,748;16,802;0,69;0,921;0,272;0,905;0,615;0,904;0,896;0,995;0,98;-0,541;0,896;0,121;1,993;0,554;2,201;0,945;0,743;3,986;1,831;4,373;0
11,137;3456,971;226,135;23,676;0,527;0,956;0,217;0,778;0,479;0,92;0,916;0,996;0,984;-0,639;0,948;0,113;2,313;0,474;2,443;0,965;0,684;4,626;2,139;6,051;1
7,85;1863,6;139,703;16,219;0,645;0,923;0,253;0,863;0,58;0,909;0,903;0,995;0,981;-0,558;0,903;0,121;1,989;0,545;2,188;0,947;0,736;3,978;1,846;4,216;0
9,874;2307,302;165,165;20,237;0,783;0,926;0,306;0,984;0,687;0,892;0,883;0,994;0,977;-0,546;0,917;0,138;2,238;0,494;2,455;0,951;0,7;4,477;2,035;5,255;0
8,906;2166,442;158,2;18,591;0,708;0,927;0,275;0,912;0,631;0,903;0,895;0,995;0,979;-0,557;0,907;0,123;2,106;0,54;2,248;0,952;0,732;4,212;1,87;4,825;0
11,585;2151,808;146,499;20,949;0,817;0,925;0,377;1,148;0,672;0,855;0,846;0,994;0,971;-0,521;0,945;0,207;2,56;0,31;3,201;0,94;0,547;5,119;2,679;5,442;0
6,465;1677,488;121,977;13,177;0,845;0,88;0,313;0,99;0,745;0,892;0,883;0,994;0,977;-0,464;0,864;0,134;1,839;0,531;2,276;0,903;0,727;3,678;1,864;3,505;0
12,059;2861,341;193,494;25,188;5,28;0,653;1,155;1,993;3,93;0,739;0,703;0,967;0,924;-0,211;0,765;0,142;2,661;0,319;3,791;0,719;0,562;5,322;2,772;7,617;0
6,951;1915,278;136,415;14,495;0,507;0,932;0,227;0,811;0,455;0,916;0,91;0,996;0,983;-0,559;0,885;0,108;1,858;0,593;1,977;0,945;0,768;3,717;1,662;3,751;0
8,812;2162,526;153,074;17,832;0,677;0,927;0,226;0,77;0,624;0,923;0,918;0,995;0,983;-0,639;0,94;0,105;2,127;0,485;2,3;0,957;0,691;4,254;2,006;4,627;0
8,016;2053,002;147,52;16,576;0,56;0,935;0,19;0,681;0,522;0,935;0,931;0,996;0,986;-0,658;0,929;0,088;2,003;0,549;2,035;0,963;0,737;4,006;1,782;4,284;0
11,023;2187,277;151,097;20,541;0,926;0,914;0,423;1,236;0,743;0,842;0,83;0,993;0,968;-0,474;0,929;0,207;2,474;0,332;3,215;0,929;0,57;4,947;2,624;5,367;0
9,793;1895,214;138,148;18,508;0,823;0,915;0,296;0,951;0,733;0,895;0,889;0,994;0,978;-0,586;0,948;0,147;2,318;0,379;2,779;0,946;0,605;4,636;2,387;4,833;0
9,167;1817,9;133,587;17,564;1,142;0,878;0,456;1,282;0,932;0,841;0,827;0,992;0,966;-0,425;0,897;0,189;2,25;0,382;3,04;0,9;0,614;4,499;2,43;4,676;0
6,572;1502,678;113,194;13,047;0,626;0,909;0,295;0,981;0,537;0,89;0,881;0,995;0,977;-0,477;0,872;0,14;1,862;0,524;2,29;0,922;0,722;3,724;1,887;3,418;0
10,104;2054,806;144,418;19,005;0,734;0,926;0,325;1,038;0,626;0,875;0,868;0,995;0,975;-0,538;0,939;0,186;2,353;0,362;2,929;0,944;0,594;4,706;2,489;4,935;0
11,928;2318,075;159,124;22,506;2,15;0,826;0,734;1,667;1,605;0,775;0,748;0,985;0,946;-0,331;0,873;0,195;2,615;0,308;3,644;0,853;0,551;5,23;2,77;6,164;0
8,917;1841,9;136,216;17,424;1,132;0,878;0,45;1,269;0,926;0,845;0,83;0,992;0,966;-0,421;0,889;0,176;2,201;0,409;2,938;0,899;0,636;4,402;2,339;4,639;0
12,082;2762,068;192,083;26,688;7,281;0,571;1,339;1,999;5,48;0,745;0,709;0,956;0,916;-0,202;0,74;0,095;2,689;0,377;3,55;0,72;0,612;5,378;2,568;8,492;0
8,983;2720,238;185,329;19,448;0,887;0,913;0,305;0,951;0,792;0,9;0,891;0,994;0,978;-0,537;0,897;0,113;2,084;0,558;2,231;0,944;0,746;4,168;1,826;5,084;0
6,874;2365,157;158,203;15,005;0,656;0,916;0,212;0,729;0,61;0,93;0,925;0,996;0,985;-0,59;0,882;0,088;1,813;0,637;1,798;0,947;0,797;3,626;1,519;3,915;0
11,273;2907,412;193,701;22,998;0,959;0,92;0,367;1,104;0,822;0,874;0,863;0,993;0,973;-0,528;0,925;0,148;2,401;0,452;2,717;0,95;0,67;4,801;2,213;5,989;0
7,73;2446,334;167,11;16,742;0,726;0,917;0,263;0,869;0,655;0,911;0,903;0,995;0,98;-0,543;0,886;0,106;1,93;0,587;2,074;0,939;0,765;3,861;1,717;4,367;0
8,22;2528,462;172,54;17,609;0,816;0,911;0,3;0,961;0,723;0,896;0,888;0,994;0,978;-0,509;0,89;0,131;2,005;0,527;2,313;0,929;0,724;4,011;1,919;4,606;0
9,187;1907,984;134,245;17,091;1,717;0,817;0,672;1,606;1,261;0,778;0,753;0,987;0,95;-0,302;0,843;0,215;2,312;0,303;3,511;0,827;0,544;4,623;2,693;4,702;0
5,278;1378,602;101,186;10,52;0,791;0,86;0,299;0,962;0,701;0,896;0,887;0,995;0,978;-0,431;0,829;0,13;1,687;0,556;2,128;0,885;0,743;3,374;1,74;2,828;0
7,003;1742,705;126,199;13,962;1,052;0,86;0,408;1,191;0,883;0,857;0,845;0,993;0,969;-0,397;0,856;0,174;1,943;0,438;2,689;0,882;0,657;3,886;2,159;3,753;0
6,296;1558,282;114,021;12,433;0,804;0,879;0,321;1,023;0,699;0,882;0,874;0,994;0,976;-0,446;0,867;0,161;1,841;0,473;2,434;0,904;0,683;3,681;2,009;3,309;0
8,935;1977,945;136,335;16,326;0,771;0,91;0,368;1,123;0,632;0,853;0,846;0,994;0,971;-0,476;0,925;0,227;2,246;0,296;3,131;0,926;0,528;4,493;2,638;4,274;0
7,417;1745,7;126,481;14,492;1,081;0,861;0,432;1,241;0,891;0,846;0,834;0,992;0,967;-0,39;0,865;0,193;2,016;0,398;2,863;0,881;0,625;4,032;2,297;3,893;0
5,939;1449,459;106,838;11,697;0,856;0,864;0,343;1,065;0,737;0,878;0,868;0,994;0,974;-0,416;0,845;0,153;1,797;0,496;2,395;0,885;0,701;3,594;1,944;3,138;0
8,378;1742,974;125,413;15,546;0,928;0,887;0,435;1,259;0,736;0,835;0,823;0,993;0,966;-0,412;0,895;0,225;2,173;0,328;3,127;0,903;0,563;4,347;2,534;4,119;0
6,218;1594,557;116,006;12,458;0,955;0,858;0,367;1,107;0,818;0,873;0,862;0,993;0,973;-0,406;0,843;0,153;1,828;0,49;2,454;0,878;0,697;3,656;1,978;3,353;0
6,197;1464,654;109,417;12,252;0,747;0,885;0,302;0,981;0,654;0,891;0,883;0,995;0,977;-0,462;0,867;0,143;1,822;0,509;2,325;0,904;0,71;3,645;1,917;3,25;0
6,248;1560,847;114,799;12,547;0,944;0,86;0,355;1,077;0,816;0,879;0,868;0,993;0,974;-0,419;0,847;0,143;1,83;0,508;2,399;0,88;0,71;3,659;1,935;3,373;0
9,19;1986,926;138,335;17,054;0,781;0,912;0,35;1,088;0,655;0,865;0,857;0,994;0,973;-0,503;0,932;0,203;2,263;0,331;3,037;0,925;0,564;4,526;2,562;4,459;0
