HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;85,257;80,962;59,432;0,638;255;0,915;0,681;34,425;120,488;4,23
0;116,036;117,3;55,946;0,638;255;0,763;0,726;77,775;137,062;4,105
0;92,612;88,612;60,756;0,638;255;0,721;0,097;39,525;131,962;4,298
0;106,372;100,088;63,097;0,638;255;0,526;-0,267;57,375;146,625;4,408
0;101,812;104,55;61,661;0,638;255;0,574;-0,025;47,175;138,975;4,29
0;108,894;107,1;64,404;0,638;255;0,494;-0,273;56,738;148,538;4,357
0;107,42;103,275;64,336;0,638;255;0,508;-0,284;56,1;147,9;4,38
0;101,171;103,912;62,501;0,638;255;0,588;-0,036;45,262;137,7;4,295
0;108,293;106,462;65,638;0,638;255;0,547;-0,245;53,55;147,263;4,319
0;102,015;105,188;62,77;0,638;255;0,595;-0,035;45,9;138,338;4,281
0;97,429;99,45;62,183;0,638;255;0,621;-0,014;41,438;135,788;4,281
0;104,214;109,65;63,678;0,638;255;0,572;-0,07;45,9;138,975;4,237
0;107,558;107,1;64,378;0,638;255;0,513;-0,221;54,188;146,625;4,334
0;97,764;99,45;62,46;0,638;255;0,671;0,051;42,075;135,15;4,261
0;87,648;84,15;62,898;0,638;255;0,794;0,216;31,875;127,5;4,225
0;95,732;96,9;64,48;0,638;255;0,684;-0,079;36,975;135,788;4,226
0;93,509;89,887;63,324;0,638;255;0,754;0,057;37,612;133,237;4,239
0;105,67;108,375;62,191;0,638;255;0,57;-0,037;51;141,525;4,285
0;97,548;101,363;63,04;0,638;255;0,628;-0,061;38,887;135,788;4,241
1;137,753;134,512;57,038;0,638;255;0,355;-0,182;100,088;166,388;4,238
0;109,687;111,562;59,301;0,638;255;0,569;0,174;62,475;139,612;4,289
0;109,252;112,838;59,306;0,638;255;0,581;0,198;60,562;138,975;4,259
0;117,84;116,663;63,037;0,638;255;0,428;-0,206;70,762;152,362;4,322
0;98,044;96,9;61,023;0,638;255;0,683;0,097;45,262;135,15;4,299
0;114,25;108,375;65,974;0,638;255;0,419;-0,522;63,112;157,462;4,424
0;102,87;105,188;60,231;0,638;255;0,66;0,215;51;135,788;4,266
0;107,237;109,65;61,636;0,638;255;0,581;0,012;54,188;140,888;4,285
1;126,424;125,587;69,103;0,638;255;0,211;-0,833;68,85;173,4;4,421
0;97,69;96,9;62,732;0,638;255;0,837;0,32;42,713;131,962;4,177
0;91,021;82,875;62,464;0,638;255;0,806;0,156;36,975;130,688;4,278
0;85,115;75,225;63,597;0,638;255;0,885;0,31;30,6;124,95;4,239
0;87,31;72,038;63,534;0,638;255;0,882;0,187;34,425;128,775;4,288
0;82,712;58,012;59,612;0,638;255;1,058;0,625;33,788;126,225;4,026
0;91,025;75,225;66,429;0,638;255;0,902;0,184;37,612;131,325;4,262
0;118,556;123,038;62,12;0,638;255;0,398;-0,082;71,4;147,263;4,22
0;112,794;118,575;61,3;0,638;255;0,413;-0,059;62,475;144,075;4,266
0;111,61;115,388;59,825;0,638;255;0,501;0,121;63,75;142,162;4,255
0;116,474;120,488;61,429;0,638;255;0,426;-0,022;68,85;145,988;4,236
